Transaction_ID,Date,Customer_ID,Age,Gender,Category,Product,Region,Quantity,Price,Discount_Percent,Sales
1,2025-01-21,C1103,36,Male,Groceries,Coffee,East,5,958.0,20,3832.0
2,2025-11-05,C1258,41,Female,Groceries,Coffee,South,5,3025.52,10,13614.84
3,2025-11-10,C1022,61,Male,Clothing,Jeans,North,4,957.85,15,3256.69
4,2025-07-09,C1175,61,Male,Groceries,Bread,West,7,740.49,15,4405.92
5,2025-06-16,C1274,21,Male,Home & Kitchen,Mixer,West,3,4306.71,20,10336.1
6,2025-12-06,C1092,64,Female,Clothing,Jeans,East,2,1557.84,20,2492.54
7,2026-07-16,C1002,23,Female,Home & Kitchen,Mixer,South,7,908.16,0,6357.12
8,2026-07-10,C1162,27,Female,Home & Kitchen,Chair,West,5,4849.44,5,23034.84
9,2025-10-23,C1213,33,Male,Clothing,Jacket,South,7,488.04,15,2903.84
10,2026-01-15,C1041,46,Male,Groceries,Rice,North,2,4828.01,15,8207.62
11,2026-04-17,C1063,28,Male,Electronics,Laptop,North,7,21227.73,0,148594.11
12,2026-05-05,C1231,58,Female,Home & Kitchen,Table,East,3,3867.79,20,9282.7
13,2025-04-09,C1172,57,Female,Electronics,Tablet,East,4,16611.81,20,53157.79
14,2025-01-05,C1218,31,Male,Groceries,Rice,East,3,641.99,10,1733.37
15,2026-04-06,C1179,49,Male,Electronics,Headphones,North,7,5633.45,15,33519.03
16,2025-06-20,C1029,53,Male,Home & Kitchen,Mixer,West,4,4542.45,20,14535.84
17,2026-07-11,C1062,23,Female,Groceries,Bread,West,3,848.05,5,2416.94
18,2026-05-21,C1231,50,Male,Home & Kitchen,Cookware,North,4,4468.17,10,16085.41
19,2025-09-16,C1198,25,Male,Groceries,Milk,North,1,4099.17,0,4099.17
20,2026-01-09,C1160,49,Female,Clothing,T-Shirt,North,1,643.33,15,546.83
21,2025-09-25,C1295,19,Male,Home & Kitchen,Mixer,North,6,4860.32,15,24787.63
22,2025-08-08,C1054,40,Male,Electronics,Laptop,West,1,13412.37,5,12741.75
